,time,id,x,y,z,velocity,angle of motion,facing angle
63915,1352853439.162,9371900,45359,-18327,1394.365,1131.69,-2.667,0.0
63928,1352853439.2,9371900,45357,-18325,1394.365,1120.752,-2.65,0.977
63941,1352853439.237,9371900,45334,-18341,1385.239,1108.233,-2.6210000000000004,-2.343
63954,1352853439.275,9371900,45300,-18362,1385.219,1127.524,-2.6519999999999997,-2.457
63967,1352853439.311,9371900,45267,-18379,1385.219,1104.016,-2.653,-2.5069999999999997
63980,1352853439.346,9371900,45251,-18426,1380.0829999999999,1112.994,-2.4090000000000003,-2.344
63993,1352853439.3830001,9371900,45240,-18474,1374.1470000000002,1063.122,-2.181,-2.19
64005,1352853439.421,9371900,45182,-18483,1372.615,1045.086,-2.379,-2.316
64017,1352853439.4589999,9371900,45114,-18462,1370.2679999999998,1050.149,-2.6180000000000003,-2.523
64028,1352853439.496,9371900,45154,-18794,1394.425,1333.0510000000002,-1.851,-1.867
64039,1352853439.533,9371900,45137,-18822,1392.356,1314.5410000000002,-1.854,-1.847
64050,1352853439.57,9371900,45120,-18851,1390.3210000000001,1310.04,-1.89,-1.8780000000000001
64061,1352853439.606,9371900,45094,-18887,1388.111,1290.603,-1.939,-1.8969999999999998
64072,1352853439.6460001,9371900,45066,-18913,1385.6589999999999,1187.008,-1.975,-1.943
64083,1352853439.685,9371900,45025,-18931,1392.999,1167.046,-2.04,-1.986
64094,1352853439.72,9371900,44990,-18945,1403.8139999999999,1115.923,-2.104,-2.004
64105,1352853439.756,9371900,44962,-18964,1400.819,1095.106,-2.12,-2.015
64116,1352853439.7910001,9371900,44943,-18985,1395.306,1044.524,-2.1180000000000003,-2.003
64127,1352853439.826,9371900,44879,-18993,1412.6729999999998,1037.981,-2.2969999999999997,-2.106
64138,1352853439.862,9371900,44848,-19019,1412.621,971.432,-2.338,-2.103
64149,1352853439.898,9371900,44823,-19047,1412.621,951.666,-2.312,-2.133
64160,1352853439.934,9371900,44799,-19073,1412.621,959.584,-2.29,-2.14
64171,1352853439.97,9371900,44691,-18957,1419.67,927.529,-3.049,-1.7380000000000002
64182,1352853440.0080001,9371900,44647,-18950,1419.297,902.868,-2.9130000000000003,-1.724
64193,1352853440.046,9371900,44596,-18960,1418.057,866.52,-2.827,-1.732
64204,1352853440.082,9371900,44574,-18977,1418.136,808.789,-2.773,-1.8630000000000002
64215,1352853440.118,9371900,44556,-18986,1418.136,790.832,-2.737,-1.869
64226,1352853440.1560001,9371900,44528,-19000,1418.136,717.556,-2.7289999999999996,-1.923
64237,1352853440.193,9371900,44506,-19007,1418.136,660.113,-2.659,-2.052
64248,1352853440.23,9371900,44435,-18959,1416.319,824.4689999999999,-2.858,-1.926
64260,1352853440.264,9371900,44395,-18974,1412.8370000000002,875.0160000000001,-2.699,-1.995
64272,1352853440.3,9371900,44364,-18981,1408.424,903.075,-2.52,-2.0340000000000003
64284,1352853440.336,9371900,44336,-18995,1408.4720000000002,860.66,-2.557,-2.048
64296,1352853440.3760002,9371900,44312,-19011,1408.4720000000002,803.398,-2.548,-2.142
64308,1352853440.4160001,9371900,44290,-19030,1408.4720000000002,755.814,-2.461,-2.186
64320,1352853440.455,9371900,44266,-19048,1408.4720000000002,686.953,-2.506,-2.267
64332,1352853440.49,9371900,44253,-19059,1408.4720000000002,654.015,-2.397,-2.227
64344,1352853440.527,9371900,44235,-19076,1408.4720000000002,608.036,-2.404,-2.263
64356,1352853440.565,9371900,44217,-19093,1408.4720000000002,615.942,-2.421,-2.2319999999999998
64368,1352853440.601,9371900,44040,-19052,1408.0510000000002,861.87,-2.9219999999999997,-2.012
64380,1352853440.638,9371900,44005,-19037,1407.977,797.829,-2.8310000000000004,-2.097
64392,1352853440.676,9371900,44016,-19004,1407.5439999999999,729.291,-2.679,-2.261
64404,1352853440.714,9371900,43972,-19017,1407.754,712.72,-2.511,-2.29
64416,1352853440.7510002,9371900,43947,-19023,1407.888,733.574,-2.445,-2.327
64428,1352853440.787,9371900,43923,-19029,1407.991,739.9839999999999,-2.425,-2.394
64440,1352853440.825,9371900,43921,-19002,1408.0629999999999,662.54,-2.476,-2.424
64452,1352853440.8639998,9371900,43906,-18991,1408.069,650.549,-2.49,-2.475
64464,1352853440.901,9371900,43834,-18943,1408.069,796.682,-2.63,-2.492
64475,1352853440.939,9371900,43766,-18938,1408.069,782.692,-2.6860000000000004,-2.509
64486,1352853440.976,9371900,43726,-18927,1408.069,768.0360000000001,-2.8139999999999996,-2.642
64497,1352853441.014,9371900,43688,-18938,1408.069,749.377,-2.787,-2.716
64508,1352853441.05,9371900,43648,-18913,1408.069,744.36,-2.9739999999999998,-2.89
64519,1352853441.088,9371900,43595,-18871,1408.069,849.836,3.109,3.1289999999999996
64530,1352853441.1230001,9371900,43419,-18790,1407.006,1139.525,2.747,2.4019999999999997
64541,1352853441.158,9371900,43355,-18743,1406.02,1178.82,2.6919999999999997,2.432
64552,1352853441.195,9371900,43294,-18690,1405.2060000000001,1144.688,2.625,2.46
64563,1352853441.233,9371900,43258,-18654,1405.1370000000002,1116.825,2.531,2.449
