,time,id,x,y,z,velocity,angle of motion,facing angle
36273,1352853360.272,9360000,46572,-21105,1812.3529999999998,1157.771,-2.633,0.0
36290,1352853360.311,9360000,46571,-21105,1805.9720000000002,1158.723,-2.625,0.565
36307,1352853360.349,9360000,46536,-21132,1802.735,1142.41,-2.5639999999999996,-2.408
36324,1352853360.3860002,9360000,46510,-21152,1801.4229999999998,1146.84,-2.497,-2.406
36341,1352853360.423,9360000,46473,-21188,1800.954,1153.548,-2.47,-2.369
36358,1352853360.466,9360000,46427,-21224,1796.568,1144.864,-2.435,-2.359
36375,1352853360.503,9360000,46389,-21256,1793.273,1157.622,-2.425,-2.419
36392,1352853360.54,9360000,46356,-21306,1787.3470000000002,1176.572,-2.353,-2.3609999999999998
36409,1352853360.579,9360000,46318,-21341,1782.281,1089.214,-2.452,-2.44
36426,1352853360.6169999,9360000,46287,-21353,1774.3870000000002,1050.739,-2.4659999999999997,-2.497
36443,1352853360.654,9360000,46212,-21370,1765.6570000000002,1101.5839999999998,-2.61,-2.615
36460,1352853360.69,9360000,46147,-21379,1753.875,1122.525,-2.714,-2.698
36477,1352853360.727,9360000,46089,-21377,1747.065,1150.542,-2.705,-2.804
36494,1352853360.764,9360000,46030,-21388,1737.6,1136.238,-2.717,-2.7960000000000003
36511,1352853360.8,9360000,45968,-21395,1773.986,1163.988,-2.7510000000000003,-2.801
36528,1352853360.839,9360000,45917,-21420,1771.191,1002.834,-2.708,-2.77
36545,1352853360.8760002,9360000,45866,-21452,1762.9029999999998,925.13,-2.696,-2.845
36562,1352853360.913,9360000,45785,-21390,1761.3270000000002,1065.502,-3.008,-3.05
36579,1352853360.951,9360000,45740,-21398,1744.027,1070.867,-3.0439999999999996,-3.071
36596,1352853360.987,9360000,45709,-21439,1742.4679999999998,1014.0239999999999,-2.929,-2.951
36613,1352853361.023,9360000,45667,-21458,1736.87,1074.5739999999998,-2.86,-2.9130000000000003
36630,1352853361.06,9360000,45631,-21475,1732.086,1163.595,-2.792,-2.845
36647,1352853361.095,9360000,45589,-21491,1721.0620000000001,1168.366,-2.78,-2.852
36664,1352853361.128,9360000,45539,-21505,1737.774,1144.297,-2.8110000000000004,-2.86
36681,1352853361.162,9360000,45497,-21510,1742.619,1083.911,-2.8160000000000003,-2.8510000000000004
36698,1352853361.206,9360000,45445,-21491,1745.995,1049.891,-2.9389999999999996,-2.9610000000000003
36715,1352853361.2389998,9360000,45407,-21516,1732.5520000000001,1013.539,-2.839,-2.898
36732,1352853361.272,9360000,45366,-21482,1722.82,982.5169999999999,-2.943,-2.968
36748,1352853361.305,9360000,45292,-21507,1721.4279999999999,1054.395,-2.8760000000000003,-2.926
36764,1352853361.338,9360000,45229,-21545,1717.03,1151.557,-2.8480000000000003,-2.883
36781,1352853361.371,9360000,45190,-21545,1705.524,1121.8419999999999,-2.862,-2.861
36798,1352853361.408,9360000,45143,-21553,1692.614,1045.5839999999998,-2.821,-2.9
36815,1352853361.441,9360000,45088,-21576,1679.57,1150.7169999999999,-2.803,-2.861
36832,1352853361.474,9360000,45036,-21580,1662.844,1142.2169999999999,-2.827,-2.852
36849,1352853361.507,9360000,45029,-21578,1655.819,1044.118,-2.792,-2.821
