,time,id,x,y,z,velocity,angle of motion,facing angle
53549,1352853409.5210001,9364900,-35918,-4272,1705.316,1115.9560000000001,-0.045,0.0
53562,1352853409.562,9364900,-35916,-4275,1713.267,1109.857,-0.038,1.419
53575,1352853409.601,9364900,-35873,-4270,1704.029,1097.6860000000001,0.183,0.486
53588,1352853409.6430001,9364900,-35820,-4252,1692.73,1081.444,0.201,0.379
53601,1352853409.68,9364900,-35761,-4235,1695.9660000000001,1133.029,0.179,0.316
53614,1352853409.718,9364900,-35696,-4227,1696.3139999999999,1133.789,0.205,0.317
53627,1352853409.756,9364900,-35628,-4220,1744.23,1189.743,0.158,0.281
53640,1352853409.796,9364900,-35591,-4230,1758.765,1131.163,0.129,0.256
53653,1352853409.836,9364900,-35526,-4235,1758.559,1201.53,0.063,0.133
53667,1352853409.8739998,9364900,-35443,-4251,1810.043,1323.527,0.011000000000000001,0.022000000000000002
53681,1352853409.913,9364900,-35373,-4264,1824.96,1405.701,-0.003,0.031
53695,1352853409.952,9364900,-35335,-4236,1817.082,1390.3370000000002,-0.004,0.012
53709,1352853409.99,9364900,-35318,-4214,1808.33,1275.8410000000001,-0.067,-0.009000000000000001
53723,1352853410.0310001,9364900,-35273,-4215,1803.808,1297.687,-0.075,0.01
53737,1352853410.069,9364900,-35227,-4218,1803.58,1275.954,-0.102,-0.012
53752,1352853410.108,9364900,-35179,-4222,1803.58,1218.047,-0.049,-0.033
53767,1352853410.148,9364900,-35130,-4221,1802.33,1257.682,0.018000000000000002,-0.032
53782,1352853410.187,9364900,-35095,-4206,1800.5710000000001,1255.879,0.087,-0.009000000000000001
53797,1352853410.225,9364900,-35047,-4206,1800.4979999999998,1206.3110000000001,0.013999999999999999,-0.006999999999999999
53812,1352853410.264,9364900,-34989,-4210,1797.5120000000002,1248.184,-0.019,-0.008
53827,1352853410.301,9364900,-34948,-4213,1794.8529999999998,1216.91,0.034,-0.013000000000000001
53842,1352853410.341,9364900,-34911,-4220,1792.52,1197.772,-0.024,-0.054000000000000006
53857,1352853410.3760002,9364900,-34876,-4257,1839.5420000000001,1142.805,-0.054000000000000006,-0.069
53872,1352853410.413,9364900,-34831,-4288,1852.5810000000001,1158.809,-0.06,-0.09699999999999999
53887,1352853410.449,9364900,-34798,-4281,1851.934,1136.622,0.025,-0.09300000000000001
53901,1352853410.484,9364900,-34762,-4280,1851.934,1097.322,0.071,-0.11
53915,1352853410.525,9364900,-34721,-4275,1851.934,1031.344,0.1,-0.087
53929,1352853410.562,9364900,-34684,-4273,1851.934,975.173,0.09699999999999999,-0.08900000000000001
53943,1352853410.602,9364900,-34645,-4276,1851.934,968.813,0.064,-0.081
53957,1352853410.641,9364900,-34610,-4276,1851.934,957.178,0.09699999999999999,-0.048
53971,1352853410.679,9364900,-34576,-4273,1851.934,968.96,0.212,-0.044000000000000004
53985,1352853410.718,9364900,-34524,-4280,1851.796,984.105,0.149,-0.092
53999,1352853410.756,9364900,-34472,-4275,1851.855,991.461,0.113,-0.034
