,time,id,x,y,z,velocity,angle of motion,facing angle
43295,1352853379.221,9361900,16367,-11622,1191.917,669.592,1.9169999999999998,0.0
43310,1352853379.255,9361900,16367,-11623,1191.917,673.9760000000001,1.911,1.652
43325,1352853379.293,9361900,16359,-11597,1191.917,655.3330000000001,1.879,1.632
43340,1352853379.331,9361900,16348,-11576,1191.917,637.76,1.865,1.7380000000000002
43355,1352853379.368,9361900,16339,-11557,1191.917,614.822,1.867,1.8130000000000002
43370,1352853379.404,9361900,16331,-11538,1191.917,603.903,1.865,1.9180000000000001
43385,1352853379.445,9361900,16326,-11519,1191.917,603.495,1.909,1.95
43400,1352853379.483,9361900,16188,-11412,1197.588,1176.69,2.478,2.227
43415,1352853379.5210001,9361900,16118,-11345,1202.802,1289.029,2.3890000000000002,2.106
43430,1352853379.558,9361900,16073,-11311,1209.194,1246.747,2.331,2.1109999999999998
43445,1352853379.599,9361900,15948,-11232,1210.605,1289.042,2.0980000000000003,2.1180000000000003
43460,1352853379.637,9361900,15914,-11175,1216.52,1240.931,2.0780000000000003,2.126
43475,1352853379.675,9361900,15868,-11133,1263.736,1273.435,2.151,2.073
43490,1352853379.714,9361900,15828,-11084,1334.9620000000002,1290.025,2.161,2.073
43505,1352853379.7519999,9361900,15787,-11040,1374.7179999999998,1318.648,2.138,2.076
43520,1352853379.79,9361900,15747,-10978,1409.668,1351.245,2.1109999999999998,2.082
43535,1352853379.828,9361900,15722,-10915,1425.986,1376.6660000000002,2.12,2.115
43550,1352853379.868,9361900,15640,-10917,1507.4979999999998,1458.506,2.222,2.1719999999999997
43565,1352853379.908,9361900,15590,-10934,1588.165,1468.9070000000002,2.208,2.1
43580,1352853379.948,9361900,15547,-10890,1585.254,1425.126,2.259,2.1069999999999998
43595,1352853379.987,9361900,15491,-10877,1642.973,1245.474,2.401,2.24
43610,1352853380.025,9361900,15424,-10894,1690.1660000000002,1061.079,2.7960000000000003,2.7060000000000004
43625,1352853380.064,9361900,15387,-10848,1692.902,1040.302,2.524,2.474
43640,1352853380.103,9361900,15361,-10789,1692.205,1144.22,2.247,2.239
43655,1352853380.144,9361900,15319,-10787,1697.24,1047.7160000000001,2.3930000000000002,2.3209999999999997
43670,1352853380.183,9361900,15284,-10793,1700.479,976.574,2.464,2.436
43685,1352853380.224,9361900,15265,-10652,1675.1570000000002,1190.979,2.112,2.13
43700,1352853380.2610002,9361900,15230,-10599,1667.1329999999998,1211.1019999999999,2.119,2.116
43715,1352853380.299,9361900,15204,-10566,1658.9389999999999,1146.287,2.0540000000000003,2.052
43730,1352853380.336,9361900,15171,-10522,1649.5,1171.7939999999999,2.048,2.066
43745,1352853380.379,9361900,15129,-10489,1640.7910000000002,1181.26,2.084,2.11
43760,1352853380.418,9361900,15106,-10456,1647.628,1191.369,2.0709999999999997,2.114
43775,1352853380.458,9361900,15049,-10388,1639.2910000000002,1211.501,2.207,2.193
43790,1352853380.497,9361900,15000,-10333,1630.5810000000001,1260.833,2.262,2.234
43805,1352853380.533,9361900,14980,-10334,1626.621,1150.4360000000001,2.279,2.239
43820,1352853380.572,9361900,14965,-10328,1623.3410000000001,1051.444,2.272,2.219
43835,1352853380.612,9361900,14911,-10302,1638.839,1118.772,2.3369999999999997,2.26
43850,1352853380.65,9361900,14857,-10268,1630.6370000000002,1159.634,2.344,2.287
43865,1352853380.688,9361900,14814,-10221,1623.94,1238.82,2.333,2.307
43879,1352853380.724,9361900,14811,-10239,1622.17,1074.626,2.373,2.395
43893,1352853380.766,9361900,14790,-10237,1619.469,965.579,2.363,2.423
43907,1352853380.804,9361900,14758,-10208,1619.5729999999999,908.722,2.3819999999999997,2.469
43921,1352853380.842,9361900,14680,-10161,1617.989,1156.069,2.428,2.425
43935,1352853380.879,9361900,14649,-10134,1615.121,1236.1019999999999,2.405,2.448
43949,1352853380.9160001,9361900,14579,-10134,1631.694,1204.813,2.597,2.553
43963,1352853380.955,9361900,14562,-10157,1660.422,1029.152,2.7880000000000003,2.7560000000000002
43977,1352853380.993,9361900,14586,-10152,1677.675,881.668,2.698,2.6639999999999997
43991,1352853381.032,9361900,14609,-10134,1680.619,779.807,2.492,2.56
44005,1352853381.071,9361900,14430,-10039,1643.382,1161.907,2.502,2.574
44019,1352853381.113,9361900,14364,-10011,1630.217,1203.4289999999999,2.555,2.6319999999999997
44033,1352853381.151,9361900,14359,-9984,1616.566,1129.079,2.427,2.484
44047,1352853381.191,9361900,14330,-9964,1601.855,1086.458,2.452,2.525
44061,1352853381.2289999,9361900,14318,-9940,1590.44,1001.6060000000001,2.35,2.441
44075,1352853381.27,9361900,14297,-9876,1571.559,1065.882,2.283,2.347
44089,1352853381.307,9361900,14260,-9809,1568.8370000000002,1179.621,2.244,2.2769999999999997
44103,1352853381.345,9361900,14249,-9746,1573.4029999999998,1222.361,2.1790000000000003,2.2319999999999998
44116,1352853381.3839998,9361900,14214,-9666,1572.148,1215.441,2.1319999999999997,2.2159999999999997
