,time,id,x,y,z,velocity,angle of motion,facing angle
44725,1352853383.112,9362301,535,1850,1776.299,1592.5639999999999,2.8960000000000004,0.0
44741,1352853383.154,9362301,536,1849,1776.299,1589.0710000000001,2.908,2.7889999999999997
44757,1352853383.194,9362301,463,1866,1769.148,1507.9129999999998,2.943,2.9760000000000004
44773,1352853383.233,9362301,401,1888,1762.838,1441.891,2.8989999999999996,2.9619999999999997
44789,1352853383.27,9362301,348,1897,1762.983,1396.636,2.948,3.0380000000000003
44805,1352853383.31,9362301,296,1881,1757.201,1401.6779999999999,3.0980000000000003,3.057
44821,1352853383.35,9362301,243,1864,1751.514,1453.866,-3.063,-3.1310000000000002
44837,1352853383.392,9362301,173,1843,1747.511,1443.668,-3.051,-3.088
44853,1352853383.432,9362301,115,1799,1739.967,1411.836,-2.946,-2.967
44870,1352853383.472,9362301,86,1763,1732.726,1308.729,-2.81,-2.873
44887,1352853383.514,9362301,26,1739,1732.3570000000002,1273.042,-2.755,-2.8569999999999998
44904,1352853383.554,9362301,-14,1726,1732.3570000000002,1218.779,-2.78,-2.969
44921,1352853383.593,9362301,-117,2033,1725.12,1640.136,2.448,2.7560000000000002
44938,1352853383.6330001,9362301,-123,2079,1715.18,1513.264,2.533,2.763
44955,1352853383.673,9362301,-176,2109,1715.3029999999999,1469.743,2.535,2.7710000000000004
44971,1352853383.714,9362301,-230,2141,1715.3029999999999,1484.524,2.582,2.798
44987,1352853383.7519999,9362301,-145,2230,1713.65,1439.457,2.349,2.5810000000000004
45003,1352853383.7910001,9362301,-155,2274,1712.98,1484.237,2.358,2.424
45019,1352853383.831,9362301,-195,2308,1712.9160000000002,1441.219,2.375,2.411
45035,1352853383.871,9362301,-242,2284,1712.757,1476.3339999999998,2.577,2.4019999999999997
45051,1352853383.909,9362301,-307,2324,1712.767,1463.714,2.5540000000000003,2.455
45067,1352853383.948,9362301,-357,2352,1712.767,1442.743,2.6260000000000003,2.656
45083,1352853383.9889998,9362301,-460,2172,1711.78,1586.5839999999998,-2.605,-2.214
45099,1352853384.03,9362301,-514,2115,1723.388,1580.537,-2.6039999999999996,-2.315
45115,1352853384.069,9362301,-558,2067,1736.891,1570.037,-2.521,-2.349
45131,1352853384.109,9362301,-600,2027,1736.9620000000002,1563.92,-2.505,-2.34
45147,1352853384.151,9362301,-719,1964,1737.579,1931.3239999999998,-2.427,-2.207
45163,1352853384.191,9362301,-787,1909,1734.675,1951.588,-2.369,-2.234
45179,1352853384.231,9362301,-844,1858,1734.714,1872.88,-2.39,-2.249
45195,1352853384.2710001,9362301,-985,1958,1731.0539999999999,1950.514,-2.54,-2.246
45211,1352853384.307,9362301,-1071,1929,1727.7779999999998,2019.6170000000002,-2.481,-2.2569999999999997
45227,1352853384.347,9362301,-1123,1882,1727.8529999999998,1930.67,-2.449,-2.27
45243,1352853384.39,9362301,-1145,1843,1744.901,1745.556,-2.4019999999999997,-2.374
45259,1352853384.43,9362301,-1210,1820,1740.845,1634.6129999999998,-2.455,-2.484
45275,1352853384.47,9362301,-1272,1807,1732.829,1511.2939999999999,-2.565,-2.5839999999999996
45291,1352853384.5110002,9362301,-1358,1922,1727.6370000000002,1344.3829999999998,-2.8819999999999997,-2.935
45307,1352853384.549,9362301,-1430,1926,1726.251,1312.832,-2.924,-2.9930000000000003
