,time,id,x,y,z,velocity,angle of motion,facing angle
33820,1352853354.782,9355401,45562,-19961,1591.789,1153.9089999999999,-2.63,0.0
33839,1352853354.818,9355401,45559,-19959,1586.5810000000001,1154.9460000000001,-2.628,3.0839999999999996
33858,1352853354.855,9355401,45525,-19984,1582.355,1154.2269999999999,-2.642,-2.2840000000000003
33877,1352853354.8930001,9355401,45493,-19999,1578.0379999999998,1142.856,-2.562,-2.425
33896,1352853354.93,9355401,45464,-20015,1572.388,1132.164,-2.55,-2.512
33915,1352853354.97,9355401,45424,-20037,1568.035,1098.787,-2.497,-2.565
33934,1352853355.0089998,9355401,45413,-20041,1561.4089999999999,1103.725,-2.615,-2.563
33953,1352853355.046,9355401,45383,-20063,1555.08,1137.17,-2.6239999999999997,-2.573
33972,1352853355.088,9355401,45362,-20057,1548.763,1052.854,-2.641,-2.6039999999999996
33991,1352853355.1260002,9355401,45295,-20071,1539.1789999999999,1146.996,-2.636,-2.636
34010,1352853355.1660001,9355401,45232,-20092,1531.63,1137.611,-2.6710000000000003,-2.6510000000000002
34029,1352853355.204,9355401,45191,-20120,1526.991,1130.753,-2.608,-2.622
34048,1352853355.244,9355401,45168,-20114,1521.135,1067.229,-2.617,-2.677
34067,1352853355.283,9355401,45146,-20135,1516.1689999999999,1057.93,-2.6,-2.675
34086,1352853355.32,9355401,45106,-20131,1510.7820000000002,1066.3410000000001,-2.721,-2.739
34105,1352853355.362,9355401,45052,-20159,1508.02,1071.558,-2.7569999999999997,-2.72
34124,1352853355.398,9355401,45012,-20169,1503.016,1057.6,-2.8110000000000004,-2.787
34143,1352853355.439,9355401,44963,-20192,1500.4360000000001,1087.175,-2.8339999999999996,-2.819
34162,1352853355.476,9355401,44921,-20202,1495.556,1013.885,-2.8560000000000003,-2.898
34181,1352853355.514,9355401,44870,-20221,1488.4589999999998,1061.2,-2.8539999999999996,-2.925
34200,1352853355.552,9355401,44810,-20238,1484.016,1051.4160000000002,-2.8339999999999996,-2.9130000000000003
34219,1352853355.591,9355401,44753,-20275,1478.408,1067.025,-2.787,-2.859
34238,1352853355.632,9355401,44709,-20295,1473.6870000000001,1080.225,-2.8369999999999997,-2.886
34257,1352853355.672,9355401,44689,-20319,1465.009,964.2230000000001,-2.819,-2.917
34275,1352853355.71,9355401,44657,-20328,1461.431,1012.372,-2.7739999999999996,-2.867
34293,1352853355.7480001,9355401,44613,-20338,1456.3429999999998,1047.058,-2.7960000000000003,-2.889
34311,1352853355.785,9355401,44564,-20363,1451.261,1033.0919999999999,-2.7889999999999997,-2.838
34329,1352853355.826,9355401,44514,-20382,1446.1589999999999,1006.982,-2.7569999999999997,-2.853
34347,1352853355.865,9355401,44496,-20404,1443.8970000000002,968.42,-2.845,-2.852
34365,1352853355.903,9355401,44465,-20429,1442.119,972.155,-2.725,-2.8169999999999997
