,time,id,x,y,z,velocity,angle of motion,facing angle
33711,1352853354.548,9355400,41406,-17733,1386.78,982.3789999999999,-2.6319999999999997,0.0
33729,1352853354.586,9355400,41404,-17734,1382.868,983.61,-2.661,1.869
33747,1352853354.629,9355400,41364,-17746,1379.886,926.086,-2.7430000000000003,-2.523
33765,1352853354.669,9355400,41328,-17762,1376.592,893.0310000000001,-2.701,-2.548
33783,1352853354.707,9355400,41291,-17784,1370.0720000000001,943.07,-2.678,-2.572
33801,1352853354.745,9355400,41244,-17794,1367.632,965.867,-2.762,-2.6710000000000003
33819,1352853354.782,9355400,41206,-17813,1360.9270000000001,1009.362,-2.786,-2.739
33838,1352853354.818,9355400,41173,-17817,1355.3129999999999,1083.625,-2.781,-2.813
33857,1352853354.855,9355400,41122,-17828,1349.918,1077.155,-2.885,-2.949
33876,1352853354.8930001,9355400,41091,-17840,1350.006,1035.393,-2.8510000000000004,-2.94
33895,1352853354.93,9355400,41027,-17857,1345.695,1109.976,-2.859,-2.9339999999999997
33914,1352853354.97,9355400,40989,-17872,1340.999,1117.619,-2.8739999999999997,-2.923
33933,1352853355.0089998,9355400,40929,-17896,1336.519,1089.112,-2.839,-2.8710000000000004
33952,1352853355.046,9355400,40869,-17880,1329.1889999999999,1122.022,-2.997,-3.008
33971,1352853355.088,9355400,40816,-17876,1323.832,1131.152,-2.944,-2.9810000000000003
33990,1352853355.1260002,9355400,40758,-17902,1319.03,1229.74,-2.8760000000000003,-2.8510000000000004
34009,1352853355.1660001,9355400,40642,-17952,1362.3370000000002,1454.961,-2.759,-2.8339999999999996
34028,1352853355.204,9355400,40584,-17971,1390.271,1438.182,-2.805,-2.885
34047,1352853355.244,9355400,40536,-18002,1381.9520000000002,1492.6529999999998,-2.786,-2.865
34066,1352853355.283,9355400,40514,-17991,1379.244,1350.78,-2.909,-2.952
34085,1352853355.32,9355400,40476,-17989,1375.704,1274.713,-2.998,-3.03
34104,1352853355.362,9355400,40427,-17962,1373.838,1227.181,3.128,3.1069999999999998
34123,1352853355.398,9355400,40378,-17928,1370.905,1211.3039999999999,2.995,3.002
34142,1352853355.439,9355400,40330,-17920,1365.2879999999998,1241.096,2.9939999999999998,3.013
34161,1352853355.476,9355400,40300,-17907,1360.836,1236.231,2.946,3.034
34180,1352853355.514,9355400,40239,-17892,1358.2279999999998,1287.101,2.907,2.9930000000000003
34199,1352853355.552,9355400,40182,-17888,1355.3220000000001,1356.418,2.915,3.0039999999999996
34218,1352853355.591,9355400,40121,-17878,1350.465,1409.033,2.9010000000000002,2.983
34237,1352853355.632,9355400,40046,-17885,1346.645,1444.953,2.9619999999999997,2.9810000000000003
34256,1352853355.672,9355400,39971,-17883,1342.989,1481.88,2.947,2.9960000000000004
34274,1352853355.71,9355400,39913,-17898,1339.192,1433.9270000000001,2.911,3.005
34292,1352853355.7480001,9355400,39849,-17913,1331.175,1448.941,2.9760000000000004,3.014
34310,1352853355.785,9355400,39803,-17927,1326.767,1414.999,2.958,3.009
34328,1352853355.826,9355400,39764,-17934,1321.723,1343.75,2.908,2.955
34346,1352853355.865,9355400,39698,-17924,1316.969,1378.674,2.9739999999999998,2.9989999999999997
34364,1352853355.903,9355400,39629,-17935,1312.596,1310.836,3.0789999999999997,3.097
34382,1352853355.94,9355400,39590,-17939,1308.741,1298.109,3.0780000000000003,3.122
